"total_score","google_trends","school_age","hours_worked","iq","rain","fertility","gdp","population","age_dependency","agriculture"
178,9,NA,NA,106.47,NA,NA,NA,NA,NA,NA
107,25,7,NA,87.71,691,38.07,7536439875.08334,8925525,65.6443408550308,20.2832963188861
193,12,6,42,88.87,1622,40.013,456356961443.497,70898202,40.5821732762652,8.40641258665047
85,22,6,NA,79.22,207,8.237,42163966272.6296,11811443,48.3113716574529,8.986045690927
163,28,6,NA,86.8,593,NA,NA,NA,NA,NA
13,12,6,46,76.42,1180,114.781,30744473911.5312,40127085,95.811916730413,23.4588353825104
174,48,6,40,90.07,565,22.932,112090530368.543,44831135,46.5839816177943,10.1776550393512
10,17,6,NA,82.05,78,5.593,390516804016.501,9068296,18.2093561711013,0.761757601656358
179,20,5,33,99.12,1220,13.141,2683399006715.79,66058859,56.2977030016515,0.592419789276588
207,24,6,37,97.43,715,18.423,19477336549000,325122128,51.7962372586739,0.946868677532138
27,8,6,44,87.59,1300,48.21,64233966861.2518,3422200,55.4737949664311,5.34533214654603
124,25,7,NA,89.01,206,20.097,62081323299.0324,32388600,50.0624090158094,28.6584674001878
7,10,NA,39,82.99,2044,NA,NA,NA,NA,NA
196,100,6,43,89.53,1821,34.291,281353625688.004,94033048,44.1828093509189,12.9298742195823
