"country","total_score","rain","labor","temp","weeklyHours","spending","iq","googleall","google5y","google1y","happiness2021","growthRate","pop2023","area","landAreaKm","density"
"Saudi Arabia",168,59,NA,24.65,NA,6.76e+10,76.36,35,23,18,6.494,0.01478,36947025,2149690,2149690,17.1871
"Serbia",153,NA,NA,10.55,39,9.07e+08,89.6,13,10,8,6.078,-0.01001,7149077,88361,87460,81.7411
"Singapore",165,2497,2237.73,26.45,NA,1.12e+10,105.89,14,12,9,6.377,0.00653,6014723,710,718,8377.0515
"Slovakia",136,824,1745.23,6.8,37,2.122e+09,96.32,9,7,7,6.331,0.02689,5795199,49037,49035,118.1849
"Slovenia",79,1162,1655.09,8.9,39,5.81e+08,98.6,12,9,6,6.461,-8e-05,2119675,20273,20136.4,105.2658
"South Africa",94,495,2209.09,17.75,NA,4.278e+09,68.87,20,17,16,4.956,0.00869,60414495,1221037,1213090,49.8022
"South Korea",208,1274,2063.33,11.5,38,4.4e+10,102.35,14,15,13,5.845,-0.00061,51784059,100210,97600,530.5744
"Spain",139,636,1686.5,13.3,35,1.51e+10,93.9,9,8,6,6.491,-0.00082,47519628,505992,499556.6,95.1236
"Sri Lanka",77,1712,1923.94,26.95,44,2.5e+09,86.62,21,23,25,4.325,0.00281,21893579,65610,61860,353.9214
"Sweden",106,624,1609.29,1.75,35,6.327e+09,97,8,8,6,7.363,0.00595,10612086,450295,407283.5,26.0558
"Switzerland",145,1537,1589.68,5.1,36,5e+09,99.24,8,7,5,7.571,0.00643,8796669,41284,39516,222.6103
"Syria",82,252,NA,17.75,NA,1.8e+09,74.41,23,26,22,NA,NA,NA,NA,NA,NA
"Taiwan",178,NA,1990.32,NA,NA,1.0725e+10,106.47,9,9,7,6.584,0.00125,23923276,36193,36197,660.9188
"Tajikistan",107,691,NA,6.4,NA,1.6e+09,87.71,25,26,27,5.466,0.01917,10143543,143100,138790,73.0855
"Thailand",193,1622,2185.45,26.3,42,7.1e+09,88.87,12,10,8,5.985,0.00145,71801279,513120,510890,140.5416
"Tunisia",85,207,NA,19.2,NA,5.5e+08,79.22,22,25,24,4.596,0.00826,12458223,163610,155360,80.1894
"Turkey",163,593,1832,9.9,NA,1.9e+10,86.8,28,28,22,4.948,0.00557,85816199,783562,783562,109.5206
"Uganda",13,1180,NA,22.8,46,9.35e+08,76.42,12,12,9,4.636,0.02821,48582334,241550,200520,242.2817
"Ukraine",174,565,NA,8.3,40,5.4e+09,90.07,48,57,44,4.875,-0.07448,36744634,603500,579400,63.4184
"United Arab Emirates",10,78,NA,26.65,NA,2.2755e+10,82.05,17,16,13,6.561,0.00802,9516871,83600,71020,134.0027
"United Kingdom",179,1220,1670.27,8.45,33,5.51e+10,99.12,20,15,12,7.064,0.00338,67736802,242900,241930,279.9851
"United States",207,715,1765,8.55,37,7.5e+11,97.43,24,18,13,6.951,0.00505,339996563,9372610,9147420,37.1686
"Uruguay",27,1300,1552.35,17.55,44,4.95e+09,87.59,8,7,6,6.431,9e-05,3423108,181034,175020,19.5584
"Uzbekistan",124,206,NA,12.05,NA,9.75e+08,89.01,25,25,19,6.179,0.01549,35163944,447400,440650,79.8002
"Venezuela",7,2044,NA,25.35,39,7.45e+08,82.99,10,10,9,4.892,0.01897,28838499,916445,882050,32.6949
"Vietnam",196,1821,2169.59,24.45,43,5.5e+09,89.53,100,100,85,5.411,0.00685,98858950,331212,313429,315.411
